time,cwnd
2020-10-09 15:40:16.502585,10
2020-10-09 15:40:16.621270,10
2020-10-09 15:40:16.739728,10
2020-10-09 15:40:16.861508,10
2020-10-09 15:40:16.980023,10
2020-10-09 15:40:17.932306,11
2020-10-09 15:40:18.052535,11
2020-10-09 15:40:18.168871,11
2020-10-09 15:40:18.285919,11
2020-10-09 15:40:18.402098,11
2020-10-09 15:40:18.519867,11
2020-10-09 15:40:19.229172,10
2020-10-09 15:40:19.229172,12
2020-10-09 15:40:19.344758,10
2020-10-09 15:40:19.344758,12
2020-10-09 15:40:19.462603,10
2020-10-09 15:40:19.462603,12
2020-10-09 15:40:19.581474,10
2020-10-09 15:40:19.581474,12
2020-10-09 15:40:19.700330,10
2020-10-09 15:40:19.700330,12
2020-10-09 15:40:19.817748,12
2020-10-09 15:40:19.817748,13
2020-10-09 15:40:19.938394,15
2020-10-09 15:40:19.938394,13
2020-10-09 15:40:20.057187,18
2020-10-09 15:40:20.057187,13
2020-10-09 15:40:20.174959,20
2020-10-09 15:40:20.174959,13
2020-10-09 15:40:20.294319,20
2020-10-09 15:40:20.294319,13
2020-10-09 15:40:20.413878,21
2020-10-09 15:40:20.532699,24
2020-10-09 15:40:20.649999,27
2020-10-09 15:40:20.768582,30
2020-10-09 15:40:20.887377,33
2020-10-09 15:40:21.008468,36
2020-10-09 15:40:21.128441,36
2020-10-09 15:40:21.245816,39
2020-10-09 15:40:21.365210,42
2020-10-09 15:40:21.484350,45
2020-10-09 15:40:21.605792,47
2020-10-09 15:40:21.720858,48
2020-10-09 15:40:21.839191,48
2020-10-09 15:40:21.957965,49
2020-10-09 15:40:22.081108,52
2020-10-09 15:40:22.196381,54
2020-10-09 15:40:22.314336,57
2020-10-09 15:40:22.432626,60
2020-10-09 15:40:22.550763,66
2020-10-09 15:40:22.670217,75
2020-10-09 15:40:22.790624,83
2020-10-09 15:40:22.908900,86
2020-10-09 15:40:23.026600,86
2020-10-09 15:40:23.145695,86
2020-10-09 15:40:23.264228,90
2020-10-09 15:40:23.383927,94
2020-10-09 15:40:23.503415,97
2020-10-09 15:40:23.621270,104
2020-10-09 15:40:23.741880,110
2020-10-09 15:40:23.856952,117
2020-10-09 15:40:23.974474,120
2020-10-09 15:40:24.093217,123
2020-10-09 15:40:24.212145,123
2020-10-09 15:40:24.331726,124
2020-10-09 15:40:24.452239,140
2020-10-09 15:40:24.572289,158
2020-10-09 15:40:24.691816,176
2020-10-09 15:40:24.811517,182
2020-10-09 15:40:24.931193,185
2020-10-09 15:40:25.049344,185
2020-10-09 15:40:25.168415,185
2020-10-09 15:40:25.285950,190
2020-10-09 15:40:25.405580,203
2020-10-09 15:40:25.522722,216
2020-10-09 15:40:25.641818,234
2020-10-09 15:40:25.760443,250
2020-10-09 15:40:25.880226,250
2020-10-09 15:40:26.000223,250
2020-10-09 15:40:26.118217,250
2020-10-09 15:40:26.236830,250
2020-10-09 15:40:26.354446,270
2020-10-09 15:40:26.473294,319
2020-10-09 15:40:26.593170,372
2020-10-09 15:40:26.712462,408
2020-10-09 15:40:26.832124,408
2020-10-09 15:40:26.954113,408
2020-10-09 15:40:27.069998,420
2020-10-09 15:40:27.188005,467
2020-10-09 15:40:27.308646,507
2020-10-09 15:40:27.429738,563
2020-10-09 15:40:27.545618,616
2020-10-09 15:40:27.663919,653
2020-10-09 15:40:27.784174,691
2020-10-09 15:40:27.902078,708
2020-10-09 15:40:28.018536,708
2020-10-09 15:40:28.141330,708
2020-10-09 15:40:28.261534,708
2020-10-09 15:40:28.381429,718
2020-10-09 15:40:28.500922,769
2020-10-09 15:40:28.620973,823
2020-10-09 15:40:28.740510,898
2020-10-09 15:40:28.857801,996
2020-10-09 15:40:28.975755,1120
2020-10-09 15:40:29.093766,1223
2020-10-09 15:40:29.208586,1223
2020-10-09 15:40:29.330140,1223
2020-10-09 15:40:29.450073,1223
2020-10-09 15:40:29.570470,1254
2020-10-09 15:40:29.690095,1341
2020-10-09 15:40:29.809577,1448
2020-10-09 15:40:29.927035,1514
2020-10-09 15:40:30.049903,1609
2020-10-09 15:40:30.169550,1653
2020-10-09 15:40:30.285692,1706
2020-10-09 15:40:30.405556,1782
2020-10-09 15:40:30.523531,1799
2020-10-09 15:40:30.644678,1843
2020-10-09 15:40:30.767589,2051
2020-10-09 15:40:30.887068,2355
2020-10-09 15:40:31.007061,2598
2020-10-09 15:40:31.125445,2598
2020-10-09 15:40:31.246087,2646
2020-10-09 15:40:31.365118,2917
2020-10-09 15:40:31.484723,3104
2020-10-09 15:40:31.601693,3400
2020-10-09 15:40:31.719690,3767
2020-10-09 15:40:31.842319,4146
2020-10-09 15:40:31.957800,4537
2020-10-09 15:40:32.077213,4901
2020-10-09 15:40:32.196831,5193
2020-10-09 15:40:32.314550,5257
2020-10-09 15:40:32.434557,5257
2020-10-09 15:40:32.555628,5257
2020-10-09 15:40:32.673821,5257
2020-10-09 15:40:32.791839,5257
2020-10-09 15:40:32.910908,5786
2020-10-09 15:40:33.027243,6864
2020-10-09 15:40:33.148416,7959
2020-10-09 15:40:33.268617,9022
2020-10-09 15:40:33.388954,9850
2020-10-09 15:40:33.508769,9850
2020-10-09 15:40:33.628002,9850
2020-10-09 15:40:33.749980,9850
2020-10-09 15:40:33.865268,9850
2020-10-09 15:40:33.984453,9850
2020-10-09 15:40:34.106605,10034
2020-10-09 15:40:34.221850,10706
2020-10-09 15:40:34.339303,10720
2020-10-09 15:40:34.461038,10720
2020-10-09 15:40:34.579756,10720
2020-10-09 15:40:34.701186,10720
2020-10-09 15:40:34.820538,10720
2020-10-09 15:40:34.940414,10720
2020-10-09 15:40:35.060706,10720
2020-10-09 15:40:35.180123,10720
2020-10-09 15:40:35.297773,10720
2020-10-09 15:40:35.416096,10720
2020-10-09 15:40:35.536772,10720
2020-10-09 15:40:35.657383,10720
2020-10-09 15:40:35.781198,10720
2020-10-09 15:40:35.897827,10720
2020-10-09 15:40:36.021173,10720
2020-10-09 15:40:36.142339,10753
2020-10-09 15:40:36.255192,10753
2020-10-09 15:40:36.376395,10757
2020-10-09 15:40:36.497808,10757
2020-10-09 15:40:36.613529,10757
2020-10-09 15:40:36.732738,10757
2020-10-09 15:40:36.853681,10757
2020-10-09 15:40:36.972850,4
2020-10-09 15:40:37.090563,4
2020-10-09 15:40:37.209094,4
2020-10-09 15:40:37.328724,4
2020-10-09 15:40:37.452378,4
2020-10-09 15:40:37.569807,4
2020-10-09 15:40:37.689373,4
2020-10-09 15:40:37.809873,4
2020-10-09 15:40:37.928549,4
2020-10-09 15:40:38.046121,4
2020-10-09 15:40:38.165570,4
2020-10-09 15:40:38.286034,4
2020-10-09 15:40:38.406094,4
2020-10-09 15:40:38.525172,4
2020-10-09 15:40:38.643944,4
2020-10-09 15:40:38.761672,4
2020-10-09 15:40:38.880659,4
2020-10-09 15:40:38.999904,4
2020-10-09 15:40:39.118006,4
2020-10-09 15:40:39.237702,4
2020-10-09 15:40:39.357206,4
2020-10-09 15:40:39.476335,4
2020-10-09 15:40:39.595826,4
2020-10-09 15:40:39.717413,4
2020-10-09 15:40:39.835951,4
2020-10-09 15:40:39.956559,4
2020-10-09 15:40:40.076103,4
2020-10-09 15:40:40.193994,10761
2020-10-09 15:40:40.315116,10761
2020-10-09 15:40:40.436024,10761
2020-10-09 15:40:40.554840,10761
2020-10-09 15:40:40.674442,10761
2020-10-09 15:40:40.792412,10761
2020-10-09 15:40:40.909640,10842
2020-10-09 15:40:41.028907,10842
2020-10-09 15:40:41.147568,10842
2020-10-09 15:40:41.269980,10842
2020-10-09 15:40:41.390583,10842
2020-10-09 15:40:41.508042,10842
2020-10-09 15:40:41.629642,10842
2020-10-09 15:40:41.746707,10842
2020-10-09 15:40:41.866010,10842
2020-10-09 15:40:41.985122,10842
2020-10-09 15:40:42.104395,10842
2020-10-09 15:40:42.221446,10842
2020-10-09 15:40:42.340070,10842
