time,cwnd
2020-10-14 13:17:02.748045,40
2020-10-14 13:17:02.867841,40
2020-10-14 13:17:02.985221,40
2020-10-14 13:17:03.103136,40
2020-10-14 13:17:03.220815,40
2020-10-14 13:17:04.059141,40
2020-10-14 13:17:04.182042,40
2020-10-14 13:17:04.301736,40
2020-10-14 13:17:04.420190,40
2020-10-14 13:17:04.543315,40
2020-10-14 13:17:04.661188,40
2020-10-14 13:17:05.394226,40
2020-10-14 13:17:05.394226,40
2020-10-14 13:17:05.517421,40
2020-10-14 13:17:05.517421,40
2020-10-14 13:17:05.636155,40
2020-10-14 13:17:05.636155,40
2020-10-14 13:17:05.757554,40
2020-10-14 13:17:05.757554,40
2020-10-14 13:17:05.876906,40
2020-10-14 13:17:05.876906,40
2020-10-14 13:17:05.996531,40
2020-10-14 13:17:05.996531,41
2020-10-14 13:17:06.120784,40
2020-10-14 13:17:06.120784,47
2020-10-14 13:17:06.243044,40
2020-10-14 13:17:06.243044,60
2020-10-14 13:17:06.363277,40
2020-10-14 13:17:06.363277,65
2020-10-14 13:17:06.484054,40
2020-10-14 13:17:06.484054,79
2020-10-14 13:17:06.609458,81
2020-10-14 13:17:06.729526,84
2020-10-14 13:17:06.849409,89
2020-10-14 13:17:06.970148,94
2020-10-14 13:17:07.090557,101
2020-10-14 13:17:07.210198,111
2020-10-14 13:17:07.329805,122
2020-10-14 13:17:07.448631,128
2020-10-14 13:17:07.568265,134
2020-10-14 13:17:07.688402,144
2020-10-14 13:17:07.806053,149
2020-10-14 13:17:07.925972,154
2020-10-14 13:17:08.044422,158
2020-10-14 13:17:08.162178,161
2020-10-14 13:17:08.280640,174
2020-10-14 13:17:08.400624,189
2020-10-14 13:17:08.522120,204
2020-10-14 13:17:08.638169,221
2020-10-14 13:17:08.759418,236
2020-10-14 13:17:08.877862,262
2020-10-14 13:17:08.997240,288
2020-10-14 13:17:09.116657,310
2020-10-14 13:17:09.236464,329
2020-10-14 13:17:09.358272,349
2020-10-14 13:17:09.479219,376
2020-10-14 13:17:09.599546,394
2020-10-14 13:17:09.722023,416
2020-10-14 13:17:09.842205,437
2020-10-14 13:17:09.957474,461
2020-10-14 13:17:10.077234,481
2020-10-14 13:17:10.196819,523
2020-10-14 13:17:10.321792,574
2020-10-14 13:17:10.437326,616
2020-10-14 13:17:10.556778,656
2020-10-14 13:17:10.676218,681
2020-10-14 13:17:10.796570,777
2020-10-14 13:17:10.916446,861
2020-10-14 13:17:11.037497,962
2020-10-14 13:17:11.159034,1073
2020-10-14 13:17:11.279947,1192
2020-10-14 13:17:11.400297,1295
2020-10-14 13:17:11.521032,1393
2020-10-14 13:17:11.640374,1498
2020-10-14 13:17:11.763276,1600
2020-10-14 13:17:11.880015,1697
2020-10-14 13:17:12.000720,1791
2020-10-14 13:17:12.121312,1890
2020-10-14 13:17:12.241193,2004
2020-10-14 13:17:12.366801,2127
2020-10-14 13:17:12.483968,2243
2020-10-14 13:17:12.605071,2362
2020-10-14 13:17:12.724913,2646
2020-10-14 13:17:12.845262,3056
2020-10-14 13:17:12.965007,3473
2020-10-14 13:17:13.084687,3874
2020-10-14 13:17:13.203867,4293
2020-10-14 13:17:13.321020,4766
2020-10-14 13:17:13.444295,5235
2020-10-14 13:17:13.564411,5496
2020-10-14 13:17:13.684838,6010
2020-10-14 13:17:13.803611,6287
2020-10-14 13:17:13.923720,6792
2020-10-14 13:17:14.043823,7071
2020-10-14 13:17:14.163953,7373
2020-10-14 13:17:14.283825,7673
2020-10-14 13:17:14.404563,7963
2020-10-14 13:17:14.524400,8254
2020-10-14 13:17:14.646530,8643
2020-10-14 13:17:14.766107,8698
2020-10-14 13:17:14.886068,8764
2020-10-14 13:17:15.005495,8837
2020-10-14 13:17:15.124956,8893
2020-10-14 13:17:15.247657,8958
2020-10-14 13:17:15.369985,8995
2020-10-14 13:17:15.485614,9036
