time,cwnd
2020-10-07 15:05:28.294037,40
2020-10-07 15:05:28.412132,40
2020-10-07 15:05:28.534441,40
2020-10-07 15:05:28.650097,40
2020-10-07 15:05:28.768871,40
2020-10-07 15:05:29.610134,40
2020-10-07 15:05:29.728162,40
2020-10-07 15:05:29.848018,40
2020-10-07 15:05:29.964876,40
2020-10-07 15:05:30.087506,40
2020-10-07 15:05:30.206029,40
2020-10-07 15:05:30.926949,40
2020-10-07 15:05:30.926949,40
2020-10-07 15:05:31.045998,40
2020-10-07 15:05:31.045998,40
2020-10-07 15:05:31.171386,40
2020-10-07 15:05:31.171386,40
2020-10-07 15:05:31.287645,40
2020-10-07 15:05:31.287645,40
2020-10-07 15:05:31.404639,40
2020-10-07 15:05:31.404639,40
2020-10-07 15:05:31.525726,40
2020-10-07 15:05:31.525726,40
2020-10-07 15:05:31.642570,40
2020-10-07 15:05:31.642570,43
2020-10-07 15:05:31.763660,40
2020-10-07 15:05:31.763660,56
2020-10-07 15:05:31.883042,40
2020-10-07 15:05:31.883042,59
2020-10-07 15:05:32.007415,40
2020-10-07 15:05:32.007415,64
2020-10-07 15:05:32.122715,40
2020-10-07 15:05:32.122715,79
2020-10-07 15:05:32.238887,81
2020-10-07 15:05:32.364452,85
2020-10-07 15:05:32.484119,91
2020-10-07 15:05:32.605267,97
2020-10-07 15:05:32.723659,105
2020-10-07 15:05:32.846902,112
2020-10-07 15:05:32.967159,116
2020-10-07 15:05:33.083692,119
2020-10-07 15:05:33.201303,124
2020-10-07 15:05:33.321558,128
2020-10-07 15:05:33.444453,132
2020-10-07 15:05:33.559570,137
2020-10-07 15:05:33.683079,158
2020-10-07 15:05:33.798634,180
2020-10-07 15:05:33.916534,199
2020-10-07 15:05:34.034706,221
2020-10-07 15:05:34.154796,238
2020-10-07 15:05:34.274185,257
2020-10-07 15:05:34.392412,272
2020-10-07 15:05:34.509414,295
2020-10-07 15:05:34.631744,316
2020-10-07 15:05:34.747633,340
2020-10-07 15:05:34.869418,360
2020-10-07 15:05:34.987857,371
2020-10-07 15:05:35.109367,390
2020-10-07 15:05:35.224664,408
2020-10-07 15:05:35.342893,416
2020-10-07 15:05:35.462175,433
2020-10-07 15:05:35.580066,476
2020-10-07 15:05:35.703644,525
2020-10-07 15:05:35.819947,585
2020-10-07 15:05:35.940618,644
2020-10-07 15:05:36.063182,698
2020-10-07 15:05:36.183489,762
2020-10-07 15:05:36.301807,824
2020-10-07 15:05:36.417304,882
2020-10-07 15:05:36.543025,965
2020-10-07 15:05:36.662887,1019
2020-10-07 15:05:36.784449,1087
2020-10-07 15:05:36.911944,1149
2020-10-07 15:05:37.029608,1200
2020-10-07 15:05:37.149141,1270
2020-10-07 15:05:37.268052,1325
2020-10-07 15:05:37.388546,1384
2020-10-07 15:05:37.509334,1590
2020-10-07 15:05:37.630428,1808
2020-10-07 15:05:37.750691,2040
2020-10-07 15:05:37.870377,2252
2020-10-07 15:05:37.990639,2400
2020-10-07 15:05:38.108271,2721
2020-10-07 15:05:38.230664,2954
2020-10-07 15:05:38.354095,3211
2020-10-07 15:05:38.469457,3458
2020-10-07 15:05:38.590912,3728
2020-10-07 15:05:38.709622,3964
2020-10-07 15:05:38.827641,4112
2020-10-07 15:05:38.950379,4288
2020-10-07 15:05:39.072270,4444
2020-10-07 15:05:39.188383,4607
2020-10-07 15:05:39.308108,4724
2020-10-07 15:05:39.424934,5444
2020-10-07 15:05:39.552584,6310
2020-10-07 15:05:39.672577,7134
2020-10-07 15:05:39.790917,7976
2020-10-07 15:05:39.908663,8808
2020-10-07 15:05:40.033759,9547
2020-10-07 15:05:40.150171,10485
2020-10-07 15:05:40.272027,11688
2020-10-07 15:05:40.394000,12171
2020-10-07 15:05:40.510827,12514
2020-10-07 15:05:40.629476,12536
2020-10-07 15:05:40.748598,12571
2020-10-07 15:05:40.870536,12609
2020-10-07 15:05:40.989154,12646
2020-10-07 15:05:41.108959,12684
2020-10-07 15:05:41.229063,12722
2020-10-07 15:05:41.350054,12758
2020-10-07 15:05:41.464405,12795
2020-10-07 15:05:41.588198,12830
2020-10-07 15:05:41.704958,12869
2020-10-07 15:05:41.823655,12907
2020-10-07 15:05:41.944634,12795
2020-10-07 15:05:42.065112,12239
2020-10-07 15:05:42.184002,11750
2020-10-07 15:05:42.305691,11559
2020-10-07 15:05:42.427759,11385
2020-10-07 15:05:42.543485,11179
2020-10-07 15:05:42.668534,10995
2020-10-07 15:05:42.782517,10819
2020-10-07 15:05:42.907495,10639
2020-10-07 15:05:43.024723,10473
2020-10-07 15:05:43.146858,10294
2020-10-07 15:05:43.266161,10022
2020-10-07 15:05:43.387496,9659
2020-10-07 15:05:43.514172,9303
2020-10-07 15:05:43.628033,9060
2020-10-07 15:05:43.753015,8853
2020-10-07 15:05:43.880889,9060
2020-10-07 15:05:44.000074,9060
2020-10-07 15:05:44.122668,9060
2020-10-07 15:05:44.241287,9060
