time,cwnd
2020-10-08 21:54:32.940038,40
2020-10-08 21:54:33.060042,40
2020-10-08 21:54:33.179832,40
2020-10-08 21:54:33.299540,40
2020-10-08 21:54:33.423168,40
2020-10-08 21:54:34.256132,40
2020-10-08 21:54:34.376853,40
2020-10-08 21:54:34.496304,40
2020-10-08 21:54:34.615741,40
2020-10-08 21:54:34.735775,40
2020-10-08 21:54:34.854257,40
2020-10-08 21:54:35.583430,40
2020-10-08 21:54:35.583430,40
2020-10-08 21:54:35.700483,40
2020-10-08 21:54:35.700483,40
2020-10-08 21:54:35.822387,40
2020-10-08 21:54:35.822387,40
2020-10-08 21:54:35.941019,40
2020-10-08 21:54:35.941019,40
2020-10-08 21:54:36.060335,40
2020-10-08 21:54:36.060335,40
2020-10-08 21:54:36.179986,40
2020-10-08 21:54:36.179986,40
2020-10-08 21:54:36.299844,43
2020-10-08 21:54:36.299844,40
2020-10-08 21:54:36.423415,51
2020-10-08 21:54:36.423415,40
2020-10-08 21:54:36.543177,54
2020-10-08 21:54:36.543177,40
2020-10-08 21:54:36.661561,54
2020-10-08 21:54:36.661561,40
2020-10-08 21:54:36.777106,54
2020-10-08 21:54:36.777106,40
2020-10-08 21:54:36.896698,54
2020-10-08 21:54:36.896698,40
2020-10-08 21:54:37.016142,54
2020-10-08 21:54:37.016142,40
2020-10-08 21:54:37.136002,55
2020-10-08 21:54:37.257765,55
2020-10-08 21:54:37.376835,55
2020-10-08 21:54:37.496232,56
2020-10-08 21:54:37.615956,56
2020-10-08 21:54:37.735597,56
2020-10-08 21:54:37.856129,56
2020-10-08 21:54:37.975881,56
2020-10-08 21:54:38.096062,57
2020-10-08 21:54:38.221670,57
2020-10-08 21:54:38.337091,57
2020-10-08 21:54:38.456386,58
2020-10-08 21:54:38.577393,58
2020-10-08 21:54:38.701696,59
2020-10-08 21:54:38.817037,60
2020-10-08 21:54:38.936702,60
2020-10-08 21:54:39.056210,61
2020-10-08 21:54:39.176158,61
2020-10-08 21:54:39.295651,62
2020-10-08 21:54:39.419680,63
2020-10-08 21:54:39.537687,64
2020-10-08 21:54:39.659051,65
2020-10-08 21:54:39.774616,67
2020-10-08 21:54:39.894519,68
2020-10-08 21:54:40.015909,69
2020-10-08 21:54:40.136502,71
2020-10-08 21:54:40.256303,72
2020-10-08 21:54:40.377796,75
2020-10-08 21:54:40.496798,77
2020-10-08 21:54:40.616406,79
2020-10-08 21:54:40.737981,82
2020-10-08 21:54:40.858330,84
2020-10-08 21:54:40.978517,86
2020-10-08 21:54:41.096953,89
2020-10-08 21:54:41.216316,92
2020-10-08 21:54:41.335605,94
2020-10-08 21:54:41.454295,97
2020-10-08 21:54:41.573630,100
2020-10-08 21:54:41.692749,103
2020-10-08 21:54:41.812042,106
2020-10-08 21:54:41.932115,109
2020-10-08 21:54:42.051752,112
2020-10-08 21:54:42.175541,116
2020-10-08 21:54:42.294158,121
2020-10-08 21:54:42.409313,126
2020-10-08 21:54:42.528750,131
2020-10-08 21:54:42.648186,136
2020-10-08 21:54:42.766203,140
2020-10-08 21:54:42.888521,145
2020-10-08 21:54:43.008179,151
2020-10-08 21:54:43.128116,155
2020-10-08 21:54:43.248115,160
2020-10-08 21:54:43.369415,166
2020-10-08 21:54:43.488429,171
2020-10-08 21:54:43.609618,177
2020-10-08 21:54:43.728998,183
2020-10-08 21:54:43.848232,189
2020-10-08 21:54:43.966370,195
2020-10-08 21:54:44.085040,204
2020-10-08 21:54:44.204544,217
2020-10-08 21:54:44.325521,227
2020-10-08 21:54:44.445009,241
2020-10-08 21:54:44.564322,251
2020-10-08 21:54:44.685973,258
2020-10-08 21:54:44.804942,268
2020-10-08 21:54:44.924403,279
2020-10-08 21:54:45.044349,291
2020-10-08 21:54:45.164477,300
2020-10-08 21:54:45.283912,308
2020-10-08 21:54:45.404541,315
2020-10-08 21:54:45.524055,324
2020-10-08 21:54:45.644153,332
2020-10-08 21:54:45.764403,342
2020-10-08 21:54:45.884775,348
2020-10-08 21:54:46.006300,368
2020-10-08 21:54:46.125615,387
2020-10-08 21:54:46.245057,402
2020-10-08 21:54:46.365073,417
2020-10-08 21:54:46.484515,432
2020-10-08 21:54:46.606422,450
2020-10-08 21:54:46.729740,466
2020-10-08 21:54:46.845458,483
2020-10-08 21:54:46.964628,495
2020-10-08 21:54:47.085762,515
2020-10-08 21:54:47.205189,530
2020-10-08 21:54:47.324998,541
2020-10-08 21:54:47.444621,556
2020-10-08 21:54:47.564271,570
2020-10-08 21:54:47.684381,589
2020-10-08 21:54:47.804276,602
2020-10-08 21:54:47.924313,621
2020-10-08 21:54:48.044086,637
2020-10-08 21:54:48.166357,656
2020-10-08 21:54:48.285685,667
2020-10-08 21:54:48.407221,690
2020-10-08 21:54:48.525533,712
2020-10-08 21:54:48.647872,744
2020-10-08 21:54:48.765922,762
2020-10-08 21:54:48.885980,791
2020-10-08 21:54:49.005685,820
2020-10-08 21:54:49.125449,838
2020-10-08 21:54:49.245545,857
2020-10-08 21:54:49.365229,882
2020-10-08 21:54:49.484455,899
2020-10-08 21:54:49.607252,928
2020-10-08 21:54:49.728009,952
2020-10-08 21:54:49.848192,971
2020-10-08 21:54:49.968134,990
2020-10-08 21:54:50.087516,1003
2020-10-08 21:54:50.209627,1022
2020-10-08 21:54:50.325248,1048
2020-10-08 21:54:50.444803,1073
2020-10-08 21:54:50.569794,1104
2020-10-08 21:54:50.685868,1128
2020-10-08 21:54:50.805164,1153
2020-10-08 21:54:50.925234,1183
2020-10-08 21:54:51.044712,1206
2020-10-08 21:54:51.164985,1233
2020-10-08 21:54:51.284791,1263
2020-10-08 21:54:51.404257,1284
2020-10-08 21:54:51.524852,1318
2020-10-08 21:54:51.645044,1351
2020-10-08 21:54:51.765031,1394
2020-10-08 21:54:51.885603,1441
2020-10-08 21:54:52.004696,1479
2020-10-08 21:54:52.124585,1520
2020-10-08 21:54:52.245330,1569
2020-10-08 21:54:52.365163,1598
2020-10-08 21:54:52.484390,1618
2020-10-08 21:54:52.604169,1642
2020-10-08 21:54:52.729862,1684
2020-10-08 21:54:52.845307,1712
2020-10-08 21:54:52.964591,1743
2020-10-08 21:54:53.085153,1781
2020-10-08 21:54:53.206578,1804
2020-10-08 21:54:53.326165,1837
2020-10-08 21:54:53.444900,1871
2020-10-08 21:54:53.564786,1910
2020-10-08 21:54:53.689673,1958
2020-10-08 21:54:53.809553,1985
2020-10-08 21:54:53.925674,2016
2020-10-08 21:54:54.045115,2059
2020-10-08 21:54:54.162083,2098
2020-10-08 21:54:54.284189,2144
2020-10-08 21:54:54.404258,2179
2020-10-08 21:54:54.525841,2228
2020-10-08 21:54:54.645293,2267
2020-10-08 21:54:54.765672,2294
2020-10-08 21:54:54.886142,2344
2020-10-08 21:54:55.006065,2374
2020-10-08 21:54:55.124899,2407
2020-10-08 21:54:55.244001,2437
2020-10-08 21:54:55.364403,2468
2020-10-08 21:54:55.483814,2498
2020-10-08 21:54:55.606104,2529
2020-10-08 21:54:55.724425,2560
2020-10-08 21:54:55.843789,2597
2020-10-08 21:54:55.961745,2634
2020-10-08 21:54:56.081868,2694
2020-10-08 21:54:56.201639,2743
2020-10-08 21:54:56.319998,2809
2020-10-08 21:54:56.442354,2871
2020-10-08 21:54:56.560557,2916
2020-10-08 21:54:56.680616,2987
2020-10-08 21:54:56.800805,3052
2020-10-08 21:54:56.920609,3099
2020-10-08 21:54:57.039072,3149
2020-10-08 21:54:57.160587,3196
2020-10-08 21:54:57.280009,3250
2020-10-08 21:54:57.400010,3307
2020-10-08 21:54:57.521150,3361
2020-10-08 21:54:57.641809,3418
2020-10-08 21:54:57.762157,3484
2020-10-08 21:54:57.881446,3552
2020-10-08 21:54:58.001870,3621
2020-10-08 21:54:58.118065,3672
2020-10-08 21:54:58.240115,3759
2020-10-08 21:54:58.359845,3791
2020-10-08 21:54:58.480096,3821
2020-10-08 21:54:58.603488,3852
2020-10-08 21:54:58.722659,3882
2020-10-08 21:54:58.841716,3913
2020-10-08 21:54:58.957391,3952
2020-10-08 21:54:59.076572,3995
2020-10-08 21:54:59.199092,4067
2020-10-08 21:54:59.314466,4117
2020-10-08 21:54:59.433161,4195
2020-10-08 21:54:59.552700,4266
2020-10-08 21:54:59.672817,4321
2020-10-08 21:54:59.793003,4389
2020-10-08 21:54:59.914229,4469
2020-10-08 21:55:00.035012,4520
2020-10-08 21:55:00.157412,4602
2020-10-08 21:55:00.273647,4674
2020-10-08 21:55:00.392761,4744
2020-10-08 21:55:00.512299,4809
2020-10-08 21:55:00.631807,4873
2020-10-08 21:55:00.753908,4940
2020-10-08 21:55:00.872259,5012
2020-10-08 21:55:00.992208,5085
2020-10-08 21:55:01.112742,5157
2020-10-08 21:55:01.232707,5226
2020-10-08 21:55:01.352028,5286
2020-10-08 21:55:01.472018,5357
2020-10-08 21:55:01.592542,5428
2020-10-08 21:55:01.712305,5495
2020-10-08 21:55:01.831887,5562
2020-10-08 21:55:01.952846,5624
2020-10-08 21:55:02.072224,5670
2020-10-08 21:55:02.192129,5722
2020-10-08 21:55:02.311749,5766
2020-10-08 21:55:02.433099,5831
2020-10-08 21:55:02.554158,5884
2020-10-08 21:55:02.673014,5943
2020-10-08 21:55:02.793512,6004
2020-10-08 21:55:02.913347,6047
2020-10-08 21:55:03.034193,6110
2020-10-08 21:55:03.152931,6152
2020-10-08 21:55:03.272090,6207
2020-10-08 21:55:03.392312,6274
2020-10-08 21:55:03.513104,6360
2020-10-08 21:55:03.632278,6440
2020-10-08 21:55:03.752208,6527
2020-10-08 21:55:03.869453,6606
2020-10-08 21:55:03.991643,6697
2020-10-08 21:55:04.113128,6776
2020-10-08 21:55:04.232414,6868
2020-10-08 21:55:04.352494,6946
2020-10-08 21:55:04.473170,7033
2020-10-08 21:55:04.592182,7127
2020-10-08 21:55:04.711291,7217
2020-10-08 21:55:04.834220,7310
2020-10-08 21:55:04.952933,7397
2020-10-08 21:55:05.072527,7488
2020-10-08 21:55:05.192186,7584
2020-10-08 21:55:05.312555,7671
2020-10-08 21:55:05.432299,7776
2020-10-08 21:55:05.555063,7859
2020-10-08 21:55:05.671755,7957
2020-10-08 21:55:05.792992,8049
2020-10-08 21:55:05.912731,8160
2020-10-08 21:55:06.032563,8231
2020-10-08 21:55:06.152548,8331
2020-10-08 21:55:06.271854,8392
2020-10-08 21:55:06.391783,8470
2020-10-08 21:55:06.512427,8531
2020-10-08 21:55:06.631901,8591
2020-10-08 21:55:06.752539,8654
2020-10-08 21:55:06.872431,8717
2020-10-08 21:55:06.992425,8779
2020-10-08 21:55:07.112117,8838
2020-10-08 21:55:07.232322,8898
2020-10-08 21:55:07.352119,8961
2020-10-08 21:55:07.472030,9023
2020-10-08 21:55:07.592380,9108
2020-10-08 21:55:07.712685,9178
2020-10-08 21:55:07.831960,9263
2020-10-08 21:55:07.951690,9324
2020-10-08 21:55:08.072048,9387
2020-10-08 21:55:08.192377,9479
2020-10-08 21:55:08.315125,9564
2020-10-08 21:55:08.431983,9640
2020-10-08 21:55:08.551808,9718
2020-10-08 21:55:08.677561,9793
2020-10-08 21:55:08.792928,9869
2020-10-08 21:55:08.917550,9945
2020-10-08 21:55:09.037929,10023
2020-10-08 21:55:09.153503,10110
2020-10-08 21:55:09.272546,10195
2020-10-08 21:55:09.392306,10281
2020-10-08 21:55:09.514213,10357
2020-10-08 21:55:09.635864,10432
2020-10-08 21:55:09.756102,10535
2020-10-08 21:55:09.879596,10641
2020-10-08 21:55:09.995198,10726
2020-10-08 21:55:10.114275,10810
2020-10-08 21:55:10.235316,10864
2020-10-08 21:55:10.357605,10929
2020-10-08 21:55:10.470859,10999
2020-10-08 21:55:10.594456,11061
2020-10-08 21:55:10.713668,11146
2020-10-08 21:55:10.833826,11213
2020-10-08 21:55:10.952973,11293
2020-10-08 21:55:11.073235,11365
2020-10-08 21:55:11.192921,11444
2020-10-08 21:55:11.312858,11520
2020-10-08 21:55:11.432594,11579
2020-10-08 21:55:11.555796,11643
2020-10-08 21:55:11.672525,11726
2020-10-08 21:55:11.792772,11763
2020-10-08 21:55:11.912492,11822
2020-10-08 21:55:12.032201,11881
2020-10-08 21:55:12.153126,11937
2020-10-08 21:55:12.272374,11974
2020-10-08 21:55:12.392407,12032
2020-10-08 21:55:12.512530,12097
2020-10-08 21:55:12.632763,12146
2020-10-08 21:55:12.752653,12194
2020-10-08 21:55:12.872052,12252
2020-10-08 21:55:12.992071,12306
2020-10-08 21:55:13.111862,12338
2020-10-08 21:55:13.232575,12405
2020-10-08 21:55:13.352960,12463
2020-10-08 21:55:13.474019,12525
2020-10-08 21:55:13.593302,12582
2020-10-08 21:55:13.712443,12628
2020-10-08 21:55:13.833099,12685
2020-10-08 21:55:13.952475,12742
2020-10-08 21:55:14.075246,12798
2020-10-08 21:55:14.195286,12826
2020-10-08 21:55:14.311829,12889
2020-10-08 21:55:14.432885,12929
2020-10-08 21:55:14.552059,12988
2020-10-08 21:55:14.671809,13037
2020-10-08 21:55:14.792480,13095
2020-10-08 21:55:14.912523,13113
2020-10-08 21:55:15.032447,13170
2020-10-08 21:55:15.153001,13218
2020-10-08 21:55:15.272227,13256
2020-10-08 21:55:15.392049,13296
2020-10-08 21:55:15.509589,13356
2020-10-08 21:55:15.632001,13399
2020-10-08 21:55:15.754122,13425
2020-10-08 21:55:15.872876,13481
2020-10-08 21:55:15.992123,13516
2020-10-08 21:55:16.112026,13561
2020-10-08 21:55:16.232122,13606
2020-10-08 21:55:16.351848,13662
2020-10-08 21:55:16.472203,13701
2020-10-08 21:55:16.595341,13731
2020-10-08 21:55:16.712566,13787
2020-10-08 21:55:16.832370,13831
2020-10-08 21:55:16.952574,13858
2020-10-08 21:55:17.072769,13911
2020-10-08 21:55:17.192292,13951
2020-10-08 21:55:17.310266,13987
2020-10-08 21:55:17.433725,14034
2020-10-08 21:55:17.549835,14080
2020-10-08 21:55:17.669101,14119
2020-10-08 21:55:17.788502,14162
2020-10-08 21:55:17.909096,14210
2020-10-08 21:55:18.029027,14262
2020-10-08 21:55:18.149949,14305
2020-10-08 21:55:18.269218,14346
2020-10-08 21:55:18.390596,14388
2020-10-08 21:55:18.509557,14429
2020-10-08 21:55:18.629174,14478
2020-10-08 21:55:18.748355,14533
2020-10-08 21:55:18.868521,14582
2020-10-08 21:55:18.987947,14628
2020-10-08 21:55:19.107900,14674
2020-10-08 21:55:19.228912,14723
2020-10-08 21:55:19.349126,14768
2020-10-08 21:55:19.468504,14810
2020-10-08 21:55:19.588231,14849
2020-10-08 21:55:19.710875,14896
2020-10-08 21:55:19.828741,14941
2020-10-08 21:55:19.948347,15001
2020-10-08 21:55:20.068006,15077
2020-10-08 21:55:20.189936,15150
2020-10-08 21:55:20.309118,15207
2020-10-08 21:55:20.428069,15265
2020-10-08 21:55:20.548027,15324
2020-10-08 21:55:20.669131,15357
2020-10-08 21:55:20.789051,15418
2020-10-08 21:55:20.908592,15475
2020-10-08 21:55:21.028223,15514
2020-10-08 21:55:21.147980,15573
2020-10-08 21:55:21.267162,15616
2020-10-08 21:55:21.390193,15663
2020-10-08 21:55:21.506122,15715
2020-10-08 21:55:21.624989,15756
2020-10-08 21:55:21.744182,15818
2020-10-08 21:55:21.863649,15851
2020-10-08 21:55:21.985079,15898
2020-10-08 21:55:22.104358,15956
2020-10-08 21:55:22.222868,16014
2020-10-08 21:55:22.346215,16068
2020-10-08 21:55:22.464853,16122
2020-10-08 21:55:22.588759,16180
2020-10-08 21:55:22.705660,16221
2020-10-08 21:55:22.827767,16279
2020-10-08 21:55:22.944241,16331
2020-10-08 21:55:23.065177,16386
2020-10-08 21:55:23.186068,16446
2020-10-08 21:55:23.309688,16506
2020-10-08 21:55:23.425340,16557
2020-10-08 21:55:23.545638,16616
2020-10-08 21:55:23.665405,16665
2020-10-08 21:55:23.790295,16727
2020-10-08 21:55:23.907603,16787
2020-10-08 21:55:24.027132,16841
2020-10-08 21:55:24.150180,16899
2020-10-08 21:55:24.268981,16954
2020-10-08 21:55:24.388422,17012
2020-10-08 21:55:24.507498,17065
2020-10-08 21:55:24.629646,17122
2020-10-08 21:55:24.745795,17180
2020-10-08 21:55:24.864249,17231
2020-10-08 21:55:24.984258,17280
2020-10-08 21:55:25.102555,17333
2020-10-08 21:55:25.226152,17398
2020-10-08 21:55:25.344352,17469
2020-10-08 21:55:25.464092,17526
2020-10-08 21:55:25.587607,17587
2020-10-08 21:55:25.702633,17648
2020-10-08 21:55:25.821750,17720
2020-10-08 21:55:25.940687,17789
2020-10-08 21:55:26.060846,17853
2020-10-08 21:55:26.180268,17923
2020-10-08 21:55:26.298152,17989
2020-10-08 21:55:26.416889,18050
2020-10-08 21:55:26.536233,18101
2020-10-08 21:55:26.656264,18161
2020-10-08 21:55:26.775819,18224
2020-10-08 21:55:26.896466,18281
2020-10-08 21:55:27.018062,18345
2020-10-08 21:55:27.136856,18414
2020-10-08 21:55:27.256562,18478
2020-10-08 21:55:27.376246,18540
2020-10-08 21:55:27.500106,18604
2020-10-08 21:55:27.619156,18662
2020-10-08 21:55:27.739257,18725
2020-10-08 21:55:27.859299,18785
2020-10-08 21:55:27.980792,18785
2020-10-08 21:55:28.097704,18765
2020-10-08 21:55:28.213279,18748
2020-10-08 21:55:28.333808,18729
2020-10-08 21:55:28.454171,18706
2020-10-08 21:55:28.577979,18682
2020-10-08 21:55:28.693552,18659
2020-10-08 21:55:28.814597,18633
2020-10-08 21:55:28.933252,18550
2020-10-08 21:55:29.054390,18472
2020-10-08 21:55:29.174049,18379
2020-10-08 21:55:29.297991,18286
2020-10-08 21:55:29.414617,18198
2020-10-08 21:55:29.533762,18092
2020-10-08 21:55:29.654612,17972
2020-10-08 21:55:29.772596,17866
2020-10-08 21:55:29.897972,17750
2020-10-08 21:55:30.014187,17638
2020-10-08 21:55:30.136707,17549
2020-10-08 21:55:30.254458,17480
2020-10-08 21:55:30.379438,17418
2020-10-08 21:55:30.497309,17351
2020-10-08 21:55:30.616827,17294
2020-10-08 21:55:30.736568,17239
2020-10-08 21:55:30.856045,17177
2020-10-08 21:55:30.976751,17116
2020-10-08 21:55:31.097110,17051
2020-10-08 21:55:31.216598,16992
2020-10-08 21:55:31.336188,16923
2020-10-08 21:55:31.456301,16852
2020-10-08 21:55:31.576782,16775
2020-10-08 21:55:31.696640,16704
2020-10-08 21:55:31.816934,16626
2020-10-08 21:55:31.938243,16553
2020-10-08 21:55:32.057775,16479
2020-10-08 21:55:32.177334,16405
2020-10-08 21:55:32.296922,16327
2020-10-08 21:55:32.418362,16250
2020-10-08 21:55:32.537296,16171
2020-10-08 21:55:32.656537,16094
2020-10-08 21:55:32.778557,16021
2020-10-08 21:55:32.897994,15963
2020-10-08 21:55:33.021635,15908
2020-10-08 21:55:33.137652,15835
2020-10-08 21:55:33.256789,15785
2020-10-08 21:55:33.376465,15710
2020-10-08 21:55:33.496532,15656
2020-10-08 21:55:33.616369,15609
2020-10-08 21:55:33.737784,15552
2020-10-08 21:55:33.856695,15480
2020-10-08 21:55:33.976812,15425
2020-10-08 21:55:34.097682,15394
2020-10-08 21:55:34.213734,15318
2020-10-08 21:55:34.334799,15282
2020-10-08 21:55:34.459314,15223
2020-10-08 21:55:34.576499,15159
2020-10-08 21:55:34.698167,15115
2020-10-08 21:55:34.817443,15057
2020-10-08 21:55:34.936704,15002
2020-10-08 21:55:35.057002,14954
2020-10-08 21:55:35.176220,14905
2020-10-08 21:55:35.296791,13078
2020-10-08 21:55:35.418646,12959
2020-10-08 21:55:35.538207,12896
2020-10-08 21:55:35.656941,12795
2020-10-08 21:55:35.776669,12695
2020-10-08 21:55:35.896631,12587
2020-10-08 21:55:36.015863,12488
2020-10-08 21:55:36.136279,12400
2020-10-08 21:55:36.256422,12296
2020-10-08 21:55:36.256422,40
2020-10-08 21:55:36.378062,12201
2020-10-08 21:55:36.378062,40
2020-10-08 21:55:36.497444,12098
2020-10-08 21:55:36.497444,40
2020-10-08 21:55:36.616647,11997
2020-10-08 21:55:36.616647,40
2020-10-08 21:55:36.736811,11903
2020-10-08 21:55:36.736811,40
2020-10-08 21:55:36.856483,11814
2020-10-08 21:55:36.856483,40
2020-10-08 21:55:36.979076,11725
2020-10-08 21:55:36.979076,40
2020-10-08 21:55:37.098949,11621
2020-10-08 21:55:37.098949,40
2020-10-08 21:55:37.214469,11513
2020-10-08 21:55:37.214469,40
2020-10-08 21:55:37.333279,11429
2020-10-08 21:55:37.333279,40
2020-10-08 21:55:37.454226,11324
2020-10-08 21:55:37.454226,40
2020-10-08 21:55:37.574454,11231
2020-10-08 21:55:37.574454,40
2020-10-08 21:55:37.693666,11111
2020-10-08 21:55:37.693666,40
2020-10-08 21:55:37.814636,11052
2020-10-08 21:55:37.814636,40
2020-10-08 21:55:37.936067,10950
2020-10-08 21:55:37.936067,40
2020-10-08 21:55:38.053907,10859
2020-10-08 21:55:38.053907,40
2020-10-08 21:55:38.172739,10743
2020-10-08 21:55:38.172739,40
2020-10-08 21:55:38.293621,10641
2020-10-08 21:55:38.293621,40
2020-10-08 21:55:38.413192,10542
2020-10-08 21:55:38.413192,40
2020-10-08 21:55:38.533065,10446
2020-10-08 21:55:38.533065,40
2020-10-08 21:55:38.654189,10348
2020-10-08 21:55:38.654189,40
2020-10-08 21:55:38.773737,10244
2020-10-08 21:55:38.773737,40
2020-10-08 21:55:38.893125,10132
2020-10-08 21:55:38.893125,40
2020-10-08 21:55:39.011947,10032
2020-10-08 21:55:39.011947,40
2020-10-08 21:55:39.132843,9940
2020-10-08 21:55:39.132843,40
2020-10-08 21:55:39.252771,9846
2020-10-08 21:55:39.252771,40
2020-10-08 21:55:39.372897,9753
2020-10-08 21:55:39.372897,1448
2020-10-08 21:55:39.492126,9638
2020-10-08 21:55:39.492126,1448
2020-10-08 21:55:39.613648,9531
2020-10-08 21:55:39.613648,1448
2020-10-08 21:55:39.728942,9414
2020-10-08 21:55:39.728942,1448
2020-10-08 21:55:39.848589,9327
2020-10-08 21:55:39.848589,1448
2020-10-08 21:55:39.968657,9239
2020-10-08 21:55:39.968657,1448
2020-10-08 21:55:40.088406,9107
2020-10-08 21:55:40.088406,1448
2020-10-08 21:55:40.208169,9023
2020-10-08 21:55:40.208169,1448
2020-10-08 21:55:40.328163,8937
2020-10-08 21:55:40.328163,1448
2020-10-08 21:55:40.448461,8840
2020-10-08 21:55:40.448461,1448
2020-10-08 21:55:40.568297,8744
2020-10-08 21:55:40.568297,1448
2020-10-08 21:55:40.688557,8655
2020-10-08 21:55:40.688557,1448
2020-10-08 21:55:40.808370,8542
2020-10-08 21:55:40.808370,1448
2020-10-08 21:55:40.928293,8463
2020-10-08 21:55:40.928293,1448
2020-10-08 21:55:41.048144,8350
2020-10-08 21:55:41.048144,1448
2020-10-08 21:55:41.167943,8283
2020-10-08 21:55:41.167943,1448
2020-10-08 21:55:41.287823,8193
2020-10-08 21:55:41.287823,1448
2020-10-08 21:55:41.408378,8094
2020-10-08 21:55:41.408378,1448
2020-10-08 21:55:41.528281,8013
2020-10-08 21:55:41.528281,1448
2020-10-08 21:55:41.650113,7914
2020-10-08 21:55:41.650113,1448
2020-10-08 21:55:41.769499,7830
2020-10-08 21:55:41.769499,1448
2020-10-08 21:55:41.889178,7755
2020-10-08 21:55:41.889178,1448
2020-10-08 21:55:42.008556,7667
2020-10-08 21:55:42.008556,1448
2020-10-08 21:55:42.128777,7583
2020-10-08 21:55:42.128777,1448
2020-10-08 21:55:42.247713,7500
2020-10-08 21:55:42.247713,1448
2020-10-08 21:55:42.369912,7422
2020-10-08 21:55:42.369912,1448
2020-10-08 21:55:42.491261,7322
2020-10-08 21:55:42.491261,1448
2020-10-08 21:55:42.609881,7260
2020-10-08 21:55:42.609881,1448
2020-10-08 21:55:42.725576,7164
2020-10-08 21:55:42.725576,1448
2020-10-08 21:55:42.845217,7059
2020-10-08 21:55:42.845217,1448
2020-10-08 21:55:42.965275,6965
2020-10-08 21:55:42.965275,1448
2020-10-08 21:55:43.085538,6894
2020-10-08 21:55:43.085538,1448
2020-10-08 21:55:43.204859,6804
2020-10-08 21:55:43.204859,1448
2020-10-08 21:55:43.325167,6690
2020-10-08 21:55:43.325167,1448
2020-10-08 21:55:43.444987,6615
2020-10-08 21:55:43.444987,1448
2020-10-08 21:55:43.564855,6531
2020-10-08 21:55:43.564855,1448
2020-10-08 21:55:43.684888,6456
2020-10-08 21:55:43.684888,1448
2020-10-08 21:55:43.804946,6321
2020-10-08 21:55:43.804946,1448
2020-10-08 21:55:43.923577,6221
2020-10-08 21:55:43.923577,1448
2020-10-08 21:55:44.045130,6125
2020-10-08 21:55:44.045130,1448
2020-10-08 21:55:44.165042,6034
2020-10-08 21:55:44.165042,1448
2020-10-08 21:55:44.286607,5949
2020-10-08 21:55:44.286607,1448
2020-10-08 21:55:44.407910,5846
2020-10-08 21:55:44.407910,1448
2020-10-08 21:55:44.526616,5723
2020-10-08 21:55:44.526616,1448
2020-10-08 21:55:44.649635,5621
2020-10-08 21:55:44.649635,1448
2020-10-08 21:55:44.765552,5532
2020-10-08 21:55:44.765552,1448
2020-10-08 21:55:44.886620,5448
2020-10-08 21:55:44.886620,1448
2020-10-08 21:55:45.006595,5331
2020-10-08 21:55:45.006595,1448
2020-10-08 21:55:45.126021,5249
2020-10-08 21:55:45.126021,1448
2020-10-08 21:55:45.245098,5195
2020-10-08 21:55:45.245098,1448
2020-10-08 21:55:45.366289,5116
2020-10-08 21:55:45.366289,1448
2020-10-08 21:55:45.492987,5054
2020-10-08 21:55:45.492987,1448
2020-10-08 21:55:45.607195,4984
2020-10-08 21:55:45.607195,1448
2020-10-08 21:55:45.729789,4916
2020-10-08 21:55:45.729789,1448
2020-10-08 21:55:45.848828,4850
2020-10-08 21:55:45.848828,1448
2020-10-08 21:55:45.969051,4782
2020-10-08 21:55:45.969051,1448
2020-10-08 21:55:46.088556,4715
2020-10-08 21:55:46.088556,1448
2020-10-08 21:55:46.209457,4638
2020-10-08 21:55:46.209457,1448
2020-10-08 21:55:46.328795,4560
2020-10-08 21:55:46.328795,1448
2020-10-08 21:55:46.449911,4487
2020-10-08 21:55:46.449911,1448
2020-10-08 21:55:46.571284,4405
2020-10-08 21:55:46.571284,1448
2020-10-08 21:55:46.690154,4335
2020-10-08 21:55:46.690154,1448
2020-10-08 21:55:46.806405,4195
2020-10-08 21:55:46.806405,1448
2020-10-08 21:55:46.929830,4019
2020-10-08 21:55:46.929830,1448
2020-10-08 21:55:47.045536,3844
2020-10-08 21:55:47.045536,1448
2020-10-08 21:55:47.166129,3669
2020-10-08 21:55:47.166129,1448
2020-10-08 21:55:47.285637,3497
2020-10-08 21:55:47.285637,1448
2020-10-08 21:55:47.405135,3370
2020-10-08 21:55:47.405135,1448
2020-10-08 21:55:47.525386,3171
2020-10-08 21:55:47.525386,1448
2020-10-08 21:55:47.645987,3017
2020-10-08 21:55:47.645987,1448
2020-10-08 21:55:47.765704,2890
2020-10-08 21:55:47.765704,1448
2020-10-08 21:55:47.884408,2817
2020-10-08 21:55:47.884408,1448
2020-10-08 21:55:48.005005,2649
2020-10-08 21:55:48.125087,2541
2020-10-08 21:55:48.244420,2448
2020-10-08 21:55:48.364835,2319
2020-10-08 21:55:48.484680,2216
2020-10-08 21:55:48.604873,2088
2020-10-08 21:55:48.724949,1969
2020-10-08 21:55:48.846041,1862
2020-10-08 21:55:48.965029,1748
2020-10-08 21:55:49.084474,1629
2020-10-08 21:55:49.204562,1489
2020-10-08 21:55:49.324786,1367
2020-10-08 21:55:49.455961,1243
