time,cwnd
2020-10-12 12:03:42.584525,148
2020-10-12 12:03:42.699346,148
2020-10-12 12:03:42.819014,148
2020-10-12 12:03:42.935039,148
2020-10-12 12:03:43.054978,148
2020-10-12 12:03:43.999745,148
2020-10-12 12:03:44.120741,148
2020-10-12 12:03:44.244283,148
2020-10-12 12:03:44.366589,148
2020-10-12 12:03:44.488366,148
2020-10-12 12:03:44.604323,148
2020-10-12 12:03:45.323873,148
2020-10-12 12:03:45.323873,150
2020-10-12 12:03:45.443528,148
2020-10-12 12:03:45.443528,150
2020-10-12 12:03:45.564740,148
2020-10-12 12:03:45.564740,150
2020-10-12 12:03:45.683672,148
2020-10-12 12:03:45.683672,150
2020-10-12 12:03:45.808191,148
2020-10-12 12:03:45.808191,150
2020-10-12 12:03:45.923923,148
2020-10-12 12:03:45.923923,150
2020-10-12 12:03:46.045264,158
2020-10-12 12:03:46.045264,150
2020-10-12 12:03:46.165585,170
2020-10-12 12:03:46.165585,150
2020-10-12 12:03:46.284270,188
2020-10-12 12:03:46.284270,150
2020-10-12 12:03:46.403701,206
2020-10-12 12:03:46.403701,150
2020-10-12 12:03:46.522289,284
2020-10-12 12:03:46.522289,150
2020-10-12 12:03:46.640690,312
2020-10-12 12:03:46.640690,150
2020-10-12 12:03:46.757431,338
2020-10-12 12:03:46.757431,150
2020-10-12 12:03:46.878972,366
2020-10-12 12:03:46.878972,150
2020-10-12 12:03:46.996161,394
2020-10-12 12:03:46.996161,150
2020-10-12 12:03:47.120262,424
2020-10-12 12:03:47.120262,150
2020-10-12 12:03:47.239222,452
2020-10-12 12:03:47.239222,150
2020-10-12 12:03:47.355361,498
2020-10-12 12:03:47.355361,150
2020-10-12 12:03:47.475060,508
2020-10-12 12:03:47.595954,480
2020-10-12 12:03:47.710986,466
2020-10-12 12:03:47.831289,458
2020-10-12 12:03:47.951007,442
2020-10-12 12:03:48.072275,432
2020-10-12 12:03:48.191635,418
2020-10-12 12:03:48.312993,404
2020-10-12 12:03:48.434818,388
2020-10-12 12:03:48.554383,372
2020-10-12 12:03:48.674638,374
2020-10-12 12:03:48.794266,380
2020-10-12 12:03:48.914559,430
2020-10-12 12:03:49.034574,434
2020-10-12 12:03:49.154253,438
2020-10-12 12:03:49.275698,444
2020-10-12 12:03:49.395530,418
2020-10-12 12:03:49.521211,394
2020-10-12 12:03:49.637645,370
2020-10-12 12:03:49.759276,352
2020-10-12 12:03:49.877336,330
2020-10-12 12:03:49.996882,316
2020-10-12 12:03:50.118787,292
2020-10-12 12:03:50.239791,270
2020-10-12 12:03:50.359407,246
2020-10-12 12:03:50.478539,226
2020-10-12 12:03:50.599067,214
2020-10-12 12:03:50.719213,224
