time,cwnd
2020-10-06 22:02:47.988417,100
2020-10-06 22:02:48.107279,100
2020-10-06 22:02:48.227303,100
2020-10-06 22:02:48.345565,100
2020-10-06 22:02:48.465220,100
2020-10-06 22:02:49.418605,101
2020-10-06 22:02:49.535099,101
2020-10-06 22:02:49.652736,101
2020-10-06 22:02:49.773020,101
2020-10-06 22:02:49.891427,101
2020-10-06 22:02:50.009951,101
2020-10-06 22:02:50.726233,102
2020-10-06 22:02:50.726233,100
2020-10-06 22:02:50.841654,102
2020-10-06 22:02:50.841654,100
2020-10-06 22:02:50.959719,102
2020-10-06 22:02:50.959719,100
2020-10-06 22:02:51.086768,102
2020-10-06 22:02:51.086768,100
2020-10-06 22:02:51.207076,102
2020-10-06 22:02:51.207076,100
2020-10-06 22:02:51.325314,103
2020-10-06 22:02:51.325314,102
2020-10-06 22:02:51.440742,103
2020-10-06 22:02:51.440742,106
2020-10-06 22:02:51.558571,103
2020-10-06 22:02:51.558571,109
2020-10-06 22:02:51.683700,103
2020-10-06 22:02:51.683700,109
2020-10-06 22:02:51.807015,103
2020-10-06 22:02:51.807015,109
2020-10-06 22:02:51.925659,103
2020-10-06 22:02:51.925659,109
2020-10-06 22:02:52.045048,103
2020-10-06 22:02:52.045048,109
2020-10-06 22:02:52.162654,103
2020-10-06 22:02:52.162654,109
2020-10-06 22:02:52.286682,103
2020-10-06 22:02:52.286682,109
2020-10-06 22:02:52.405389,109
2020-10-06 22:02:52.522705,109
2020-10-06 22:02:52.642236,109
2020-10-06 22:02:52.763111,109
2020-10-06 22:02:52.882760,109
2020-10-06 22:02:53.004813,109
2020-10-06 22:02:53.126374,109
2020-10-06 22:02:53.249170,109
2020-10-06 22:02:53.370488,109
2020-10-06 22:02:53.486420,120
2020-10-06 22:02:53.605958,138
2020-10-06 22:02:53.725563,143
2020-10-06 22:02:53.846902,164
2020-10-06 22:02:53.962557,164
2020-10-06 22:02:54.081913,164
2020-10-06 22:02:54.201248,164
2020-10-06 22:02:54.319465,164
2020-10-06 22:02:54.438175,164
2020-10-06 22:02:54.559214,164
2020-10-06 22:02:54.676954,168
2020-10-06 22:02:54.792246,173
2020-10-06 22:02:54.910457,182
2020-10-06 22:02:55.029626,192
2020-10-06 22:02:55.150954,196
2020-10-06 22:02:55.269867,198
2020-10-06 22:02:55.386623,200
2020-10-06 22:02:55.504079,226
2020-10-06 22:02:55.623745,259
2020-10-06 22:02:55.740431,287
2020-10-06 22:02:55.857583,287
2020-10-06 22:02:55.977223,287
2020-10-06 22:02:56.095199,287
2020-10-06 22:02:56.214508,287
2020-10-06 22:02:56.334283,299
2020-10-06 22:02:56.453894,326
2020-10-06 22:02:56.573403,347
2020-10-06 22:02:56.693989,370
2020-10-06 22:02:56.811552,392
2020-10-06 22:02:56.931442,414
2020-10-06 22:02:57.048343,414
2020-10-06 22:02:57.163828,414
2020-10-06 22:02:57.285467,414
2020-10-06 22:02:57.405336,486
2020-10-06 22:02:57.525220,573
2020-10-06 22:02:57.639813,626
2020-10-06 22:02:57.757869,626
2020-10-06 22:02:57.879075,626
2020-10-06 22:02:57.994674,648
2020-10-06 22:02:58.113532,727
2020-10-06 22:02:58.232739,815
2020-10-06 22:02:58.350392,901
2020-10-06 22:02:58.467791,963
2020-10-06 22:02:58.585085,1033
2020-10-06 22:02:58.706854,1094
2020-10-06 22:02:58.822653,1144
2020-10-06 22:02:58.941581,1144
2020-10-06 22:02:59.059427,1144
2020-10-06 22:02:59.178059,1144
2020-10-06 22:02:59.296974,1180
2020-10-06 22:02:59.412119,1279
2020-10-06 22:02:59.532600,1372
2020-10-06 22:02:59.651012,1465
2020-10-06 22:02:59.772469,1614
2020-10-06 22:02:59.891327,1826
2020-10-06 22:03:00.011179,2040
2020-10-06 22:03:00.127958,2040
2020-10-06 22:03:00.246187,2040
2020-10-06 22:03:00.363732,2114
2020-10-06 22:03:00.481643,2164
2020-10-06 22:03:00.600056,2259
2020-10-06 22:03:00.722057,2391
2020-10-06 22:03:00.843868,2542
2020-10-06 22:03:00.961575,2694
2020-10-06 22:03:01.076294,2727
2020-10-06 22:03:01.195932,2964
2020-10-06 22:03:01.318680,3241
2020-10-06 22:03:01.437406,3476
2020-10-06 22:03:01.551771,3790
2020-10-06 22:03:01.670235,4152
2020-10-06 22:03:01.789918,4254
2020-10-06 22:03:01.904389,4275
2020-10-06 22:03:02.026790,4336
2020-10-06 22:03:02.145349,4794
2020-10-06 22:03:02.259976,5351
2020-10-06 22:03:02.376654,5895
2020-10-06 22:03:02.494043,6315
2020-10-06 22:03:02.611755,6964
2020-10-06 22:03:02.729800,7634
2020-10-06 22:03:02.847822,8275
2020-10-06 22:03:02.967792,8527
2020-10-06 22:03:03.088614,9618
2020-10-06 22:03:03.207245,10865
2020-10-06 22:03:03.326510,11621
2020-10-06 22:03:03.446464,12049
2020-10-06 22:03:03.565913,12119
2020-10-06 22:03:03.683393,12119
2020-10-06 22:03:03.798290,12119
2020-10-06 22:03:03.916866,12119
2020-10-06 22:03:04.037092,12119
2020-10-06 22:03:04.155685,12119
2020-10-06 22:03:04.275838,12119
2020-10-06 22:03:04.397569,12119
2020-10-06 22:03:04.515624,12119
2020-10-06 22:03:04.630787,12119
2020-10-06 22:03:04.749197,12119
2020-10-06 22:03:04.868100,12119
2020-10-06 22:03:04.988444,12119
2020-10-06 22:03:05.104646,12119
2020-10-06 22:03:05.227119,12119
2020-10-06 22:03:05.349750,12119
2020-10-06 22:03:05.466230,11980
2020-10-06 22:03:05.586443,11852
2020-10-06 22:03:05.711907,11695
2020-10-06 22:03:05.828588,11567
2020-10-06 22:03:05.946604,11497
2020-10-06 22:03:06.071630,11497
2020-10-06 22:03:06.191290,11497
2020-10-06 22:03:06.311524,11497
2020-10-06 22:03:06.429755,11497
2020-10-06 22:03:06.544509,11497
2020-10-06 22:03:06.662497,11497
2020-10-06 22:03:06.782392,11497
2020-10-06 22:03:06.900974,11497
2020-10-06 22:03:07.018902,11497
2020-10-06 22:03:07.137369,11497
2020-10-06 22:03:07.257297,11497
2020-10-06 22:03:07.372466,11497
2020-10-06 22:03:07.497630,11971
2020-10-06 22:03:07.616804,12119
2020-10-06 22:03:07.744151,12119
2020-10-06 22:03:07.866028,4
2020-10-06 22:03:07.984626,4
2020-10-06 22:03:08.110573,4
2020-10-06 22:03:08.231886,4
2020-10-06 22:03:08.351266,4
2020-10-06 22:03:08.473009,4
2020-10-06 22:03:08.599367,4
2020-10-06 22:03:08.714731,4
2020-10-06 22:03:08.834849,4
2020-10-06 22:03:08.954699,4
2020-10-06 22:03:09.075524,4
2020-10-06 22:03:09.197550,12123
2020-10-06 22:03:09.316776,12123
2020-10-06 22:03:09.436635,12123
