time,cwnd
2020-10-07 14:09:42.937682,3
2020-10-07 14:09:43.055569,3
2020-10-07 14:09:43.174704,3
2020-10-07 14:09:43.294106,3
2020-10-07 14:09:43.413781,3
2020-10-07 14:09:44.365295,3
2020-10-07 14:09:44.484776,3
2020-10-07 14:09:44.605141,3
2020-10-07 14:09:44.720481,3
2020-10-07 14:09:44.838848,3
2020-10-07 14:09:44.957056,3
2020-10-07 14:09:45.673060,3
2020-10-07 14:09:45.673060,3
2020-10-07 14:09:45.788391,3
2020-10-07 14:09:45.788391,3
2020-10-07 14:09:45.906022,3
2020-10-07 14:09:45.906022,3
2020-10-07 14:09:46.026003,3
2020-10-07 14:09:46.026003,3
2020-10-07 14:09:46.142506,3
2020-10-07 14:09:46.142506,3
2020-10-07 14:09:46.261214,4
2020-10-07 14:09:46.261214,3
2020-10-07 14:09:46.381967,6
2020-10-07 14:09:46.381967,3
2020-10-07 14:09:46.501374,6
2020-10-07 14:09:46.501374,3
2020-10-07 14:09:46.618626,6
2020-10-07 14:09:46.618626,3
2020-10-07 14:09:46.741967,6
2020-10-07 14:09:46.741967,3
2020-10-07 14:09:46.861587,7
2020-10-07 14:09:46.980726,10
2020-10-07 14:09:47.098979,12
2020-10-07 14:09:47.220001,12
2020-10-07 14:09:47.339680,12
2020-10-07 14:09:47.459611,14
2020-10-07 14:09:47.582710,18
2020-10-07 14:09:47.697587,22
2020-10-07 14:09:47.817428,24
2020-10-07 14:09:47.937703,24
2020-10-07 14:09:48.057062,24
2020-10-07 14:09:48.177014,28
2020-10-07 14:09:48.300923,32
2020-10-07 14:09:48.422321,36
2020-10-07 14:09:48.541680,40
2020-10-07 14:09:48.660990,41
2020-10-07 14:09:48.782096,44
2020-10-07 14:09:48.902752,48
2020-10-07 14:09:49.024429,52
2020-10-07 14:09:49.143048,55
2020-10-07 14:09:49.262120,60
2020-10-07 14:09:49.381799,63
2020-10-07 14:09:49.501539,67
2020-10-07 14:09:49.625023,70
2020-10-07 14:09:49.741181,75
2020-10-07 14:09:49.861727,80
2020-10-07 14:09:49.987019,85
2020-10-07 14:09:50.102948,90
2020-10-07 14:09:50.222132,94
2020-10-07 14:09:50.341790,103
2020-10-07 14:09:50.461614,113
2020-10-07 14:09:50.581813,125
2020-10-07 14:09:50.698789,136
2020-10-07 14:09:50.818692,148
2020-10-07 14:09:50.942858,160
2020-10-07 14:09:51.058410,168
2020-10-07 14:09:51.177991,176
2020-10-07 14:09:51.297996,187
2020-10-07 14:09:51.417075,196
2020-10-07 14:09:51.536528,207
2020-10-07 14:09:51.654844,217
2020-10-07 14:09:51.774754,229
2020-10-07 14:09:51.894385,243
2020-10-07 14:09:52.015090,255
2020-10-07 14:09:52.134266,267
2020-10-07 14:09:52.253742,287
2020-10-07 14:09:52.373726,324
2020-10-07 14:09:52.494882,354
2020-10-07 14:09:52.615205,390
2020-10-07 14:09:52.735628,421
2020-10-07 14:09:52.854563,460
2020-10-07 14:09:52.974056,487
2020-10-07 14:09:53.093943,515
2020-10-07 14:09:53.210943,548
2020-10-07 14:09:53.338937,589
2020-10-07 14:09:53.454269,623
2020-10-07 14:09:53.573951,661
2020-10-07 14:09:53.693905,701
2020-10-07 14:09:53.817070,749
2020-10-07 14:09:53.935639,793
2020-10-07 14:09:54.057477,833
2020-10-07 14:09:54.176984,905
2020-10-07 14:09:54.298091,1016
2020-10-07 14:09:54.413962,1148
2020-10-07 14:09:54.533111,1288
2020-10-07 14:09:54.652157,1403
2020-10-07 14:09:54.772274,1543
2020-10-07 14:09:54.896035,1658
2020-10-07 14:09:55.017176,1794
2020-10-07 14:09:55.137043,1947
2020-10-07 14:09:55.257411,2091
2020-10-07 14:09:55.377092,2251
2020-10-07 14:09:55.498730,2387
2020-10-07 14:09:55.616516,2502
2020-10-07 14:09:55.736784,2633
2020-10-07 14:09:55.856856,2748
2020-10-07 14:09:55.976357,2883
2020-10-07 14:09:56.098759,3138
2020-10-07 14:09:56.216433,3599
2020-10-07 14:09:56.340551,4101
2020-10-07 14:09:56.458953,4625
2020-10-07 14:09:56.580684,5239
2020-10-07 14:09:56.705189,5567
2020-10-07 14:09:56.827772,6217
2020-10-07 14:09:56.945946,6468
2020-10-07 14:09:57.068810,6828
2020-10-07 14:09:57.185212,7028
2020-10-07 14:09:57.303665,7200
2020-10-07 14:09:57.422134,7434
2020-10-07 14:09:57.542708,7592
2020-10-07 14:09:57.663244,7808
2020-10-07 14:09:57.780026,8044
2020-10-07 14:09:57.898703,8288
2020-10-07 14:09:58.016543,8627
2020-10-07 14:09:58.136389,8891
2020-10-07 14:09:58.254844,9224
2020-10-07 14:09:58.373926,9547
2020-10-07 14:09:58.492326,9893
2020-10-07 14:09:58.608918,10241
2020-10-07 14:09:58.735133,10621
2020-10-07 14:09:58.850628,11040
2020-10-07 14:09:58.968587,11432
2020-10-07 14:09:59.087761,11841
2020-10-07 14:09:59.211250,12192
2020-10-07 14:09:59.326009,12210
2020-10-07 14:09:59.445874,12222
2020-10-07 14:09:59.564174,12234
2020-10-07 14:09:59.687004,12252
2020-10-07 14:09:59.802265,12271
2020-10-07 14:09:59.922010,12283
2020-10-07 14:10:00.042369,12301
2020-10-07 14:10:00.162354,12319
2020-10-07 14:10:00.282174,12337
2020-10-07 14:10:00.402143,12355
2020-10-07 14:10:00.521524,12373
2020-10-07 14:10:00.641780,12391
2020-10-07 14:10:00.761909,12409
2020-10-07 14:10:00.878876,12421
2020-10-07 14:10:01.000453,12439
2020-10-07 14:10:01.118639,12458
2020-10-07 14:10:01.237521,12473
2020-10-07 14:10:01.357496,12488
2020-10-07 14:10:01.478316,12501
2020-10-07 14:10:01.595817,12518
2020-10-07 14:10:01.718766,12535
2020-10-07 14:10:01.837632,12551
2020-10-07 14:10:01.958708,12566
2020-10-07 14:10:02.083147,12578
2020-10-07 14:10:02.202927,12596
2020-10-07 14:10:02.318991,12608
2020-10-07 14:10:02.440564,12621
2020-10-07 14:10:02.562049,12633
2020-10-07 14:10:02.681669,12645
2020-10-07 14:10:02.801607,12662
2020-10-07 14:10:02.921797,12680
2020-10-07 14:10:03.041713,12698
2020-10-07 14:10:03.162130,12715
2020-10-07 14:10:03.281731,12731
2020-10-07 14:10:03.401661,12748
