time,cwnd
2020-10-08 22:01:08.712411,10
2020-10-08 22:01:08.829576,10
2020-10-08 22:01:08.949485,10
2020-10-08 22:01:09.068268,10
2020-10-08 22:01:09.188269,10
2020-10-08 22:01:10.144514,10
2020-10-08 22:01:10.261941,10
2020-10-08 22:01:10.382202,10
2020-10-08 22:01:10.500304,10
2020-10-08 22:01:10.617791,10
2020-10-08 22:01:10.735729,10
2020-10-08 22:01:11.454442,10
2020-10-08 22:01:11.454442,10
2020-10-08 22:01:11.577521,10
2020-10-08 22:01:11.577521,10
2020-10-08 22:01:11.696377,10
2020-10-08 22:01:11.696377,10
2020-10-08 22:01:11.814976,10
2020-10-08 22:01:11.814976,10
2020-10-08 22:01:11.936072,10
2020-10-08 22:01:11.936072,10
2020-10-08 22:01:12.056241,10
2020-10-08 22:01:12.056241,10
2020-10-08 22:01:12.178125,10
2020-10-08 22:01:12.178125,14
2020-10-08 22:01:12.293876,10
2020-10-08 22:01:12.293876,20
2020-10-08 22:01:12.411638,10
2020-10-08 22:01:12.411638,20
2020-10-08 22:01:12.530659,10
2020-10-08 22:01:12.530659,20
2020-10-08 22:01:12.650399,20
2020-10-08 22:01:12.768703,23
2020-10-08 22:01:12.885976,29
2020-10-08 22:01:13.004447,35
2020-10-08 22:01:13.124325,37
2020-10-08 22:01:13.243999,37
2020-10-08 22:01:13.365073,37
2020-10-08 22:01:13.485868,37
2020-10-08 22:01:13.601503,37
2020-10-08 22:01:13.719998,37
2020-10-08 22:01:13.839718,37
2020-10-08 22:01:13.957999,38
2020-10-08 22:01:14.080009,38
2020-10-08 22:01:14.201536,38
2020-10-08 22:01:14.322265,38
2020-10-08 22:01:14.439617,38
2020-10-08 22:01:14.557294,39
2020-10-08 22:01:14.677065,39
2020-10-08 22:01:14.796699,40
2020-10-08 22:01:14.916452,40
2020-10-08 22:01:15.037593,41
2020-10-08 22:01:15.158208,42
2020-10-08 22:01:15.273299,42
2020-10-08 22:01:15.394087,42
2020-10-08 22:01:15.512358,43
2020-10-08 22:01:15.631562,44
2020-10-08 22:01:15.750248,45
2020-10-08 22:01:15.868519,46
2020-10-08 22:01:15.987730,47
2020-10-08 22:01:16.109220,48
2020-10-08 22:01:16.228110,49
2020-10-08 22:01:16.343832,51
2020-10-08 22:01:16.464621,53
2020-10-08 22:01:16.581934,54
2020-10-08 22:01:16.704343,55
2020-10-08 22:01:16.821677,57
2020-10-08 22:01:16.940587,59
2020-10-08 22:01:17.061382,60
2020-10-08 22:01:17.179014,62
2020-10-08 22:01:17.297364,65
2020-10-08 22:01:17.417084,67
2020-10-08 22:01:17.536391,69
2020-10-08 22:01:17.656409,71
2020-10-08 22:01:17.775858,74
2020-10-08 22:01:17.895540,77
2020-10-08 22:01:18.014250,79
2020-10-08 22:01:18.132652,81
2020-10-08 22:01:18.251382,85
2020-10-08 22:01:18.374177,89
2020-10-08 22:01:18.489900,93
2020-10-08 22:01:18.608655,96
2020-10-08 22:01:18.728079,100
2020-10-08 22:01:18.847801,104
2020-10-08 22:01:18.968033,109
2020-10-08 22:01:19.085776,113
2020-10-08 22:01:19.205086,118
2020-10-08 22:01:19.323896,123
2020-10-08 22:01:19.445783,128
2020-10-08 22:01:19.565332,133
2020-10-08 22:01:19.684691,138
2020-10-08 22:01:19.802171,144
2020-10-08 22:01:19.920885,150
2020-10-08 22:01:20.038144,154
2020-10-08 22:01:20.157736,160
2020-10-08 22:01:20.278402,168
2020-10-08 22:01:20.399467,176
2020-10-08 22:01:20.518321,183
2020-10-08 22:01:20.642854,190
2020-10-08 22:01:20.763190,197
2020-10-08 22:01:20.880478,206
2020-10-08 22:01:21.001593,212
2020-10-08 22:01:21.122625,220
2020-10-08 22:01:21.240657,229
2020-10-08 22:01:21.358585,239
2020-10-08 22:01:21.479773,246
2020-10-08 22:01:21.599887,254
2020-10-08 22:01:21.721540,264
2020-10-08 22:01:21.839184,273
2020-10-08 22:01:21.960696,282
2020-10-08 22:01:22.080449,291
2020-10-08 22:01:22.203280,305
2020-10-08 22:01:22.319903,314
2020-10-08 22:01:22.440751,331
2020-10-08 22:01:22.558154,340
2020-10-08 22:01:22.681340,356
2020-10-08 22:01:22.797936,369
2020-10-08 22:01:22.916814,382
2020-10-08 22:01:23.036385,397
2020-10-08 22:01:23.161335,417
2020-10-08 22:01:23.281851,430
2020-10-08 22:01:23.397390,444
